                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.1423,                0.90327,                 1.3969,                0.79142,                0.69659,                 0.7948,                0.53842,                0.31707,                 3.5243,                0.39871,               0.008911,               0.008911,               0.008911
                     24,                 1.1144,                0.88069,                  1.382,                0.79823,                0.72361,                0.81062,                0.56514,                0.29686,                 2.2126,                 0.3908,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1168,                0.87187,                 1.3829,                0.76812,                0.75384,                0.80824,                0.56989,                0.30587,                 10.404,                 0.3892,               0.008812,               0.008812,               0.008812
                     26,                 1.0975,                0.86546,                 1.3738,                0.75911,                0.79427,                0.84116,                0.58713,                0.29841,                 2.8617,                0.38902,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0892,                0.85292,                 1.3635,                0.83197,                0.76161,                0.85951,                0.59605,                0.29892,                 1.6766,                0.39309,               0.008713,               0.008713,               0.008713
                     28,                 1.0673,                0.82199,                 1.3461,                0.84357,                0.79654,                 0.8492,                0.60234,                0.29085,                 3.9452,                 0.3865,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0592,                0.80036,                 1.3324,                0.77999,                0.73594,                0.83029,                0.57761,                0.30164,                 4.7402,                0.38603,               0.008614,               0.008614,               0.008614
                     30,                 1.0478,                0.80657,                 1.3308,                0.83393,                 0.7779,                0.84269,                0.61669,                0.27576,                 6.8778,                 0.3749,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0366,                0.79082,                 1.3185,                0.86909,                0.75073,                0.83646,                0.59543,                0.29095,                  1.186,                0.38766,               0.008515,               0.008515,               0.008515
                     32,                 1.0291,                0.78212,                 1.3132,                0.82804,                  0.748,                 0.8487,                0.60451,                0.28087,                 4.5333,                0.38533,              0.0084655,              0.0084655,              0.0084655
                     33,                   1.02,                0.77506,                 1.3091,                0.86092,                0.75644,                 0.8478,                0.61186,                0.28245,                 1.7803,                0.38115,               0.008416,               0.008416,               0.008416
                     34,                 1.0113,                0.76164,                 1.2996,                0.89805,                0.76426,                0.88129,                0.63382,                0.28577,                      2,                0.38306,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.0005,                0.74557,                 1.2892,                0.83969,                0.80284,                0.87788,                 0.6284,                0.29032,                 2.3802,                0.38793,               0.008317,               0.008317,               0.008317
