                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7513,                 2.7959,                 1.9408,                0.34917,                0.16543,                0.13413,                0.06641,                 1.0202,                 307.79,                 1.1323,              0.0033197,              0.0033197,              0.0033197
                      2,                 1.6073,                 2.2381,                 1.8107,                 0.3402,                0.31561,                0.24244,                0.11892,                0.92103,                 140.28,                 1.1077,              0.0065871,              0.0065871,              0.0065871
                      3,                 1.6257,                 2.1203,                 1.8161,                0.20187,                0.22434,                0.16238,                0.07962,                 1.0227,                 95.056,                 1.2064,              0.0097886,              0.0097886,              0.0097886
                      1,                 1.7452,                 2.7792,                 1.9499,                 0.3332,                0.21373,                0.17623,                  0.083,                0.51139,                 243.04,                0.60697,              0.0033265,              0.0033265,              0.0033265
                      2,                  1.631,                 2.2907,                 1.8336,                0.23911,                0.24697,                0.13399,                0.06864,                0.61426,                 211.04,                0.65694,              0.0065939,              0.0065939,              0.0065939
                      3,                 1.6477,                 2.1734,                 1.8475,                0.28089,                0.25049,                0.16738,                0.08793,                0.50709,                 323.66,                0.60105,              0.0097953,              0.0097953,              0.0097953
                      4,                 1.6592,                 2.0904,                 1.8817,                0.38422,                0.34313,                 0.3265,                0.17286,                0.48486,                 33.505,                0.58986,               0.009703,               0.009703,               0.009703
                      5,                 1.6301,                 2.0006,                 1.8595,                0.31003,                 0.3216,                0.27013,                0.14361,                0.50349,                  61.74,                0.59008,               0.009604,               0.009604,               0.009604
                      6,                 1.6035,                 1.9303,                 1.8425,                0.33694,                0.36065,                0.29969,                0.17173,                0.48189,                 70.728,                0.57628,               0.009505,               0.009505,               0.009505
                      7,                 1.5709,                 1.8357,                 1.8089,                0.54684,                0.31297,                0.35177,                0.18855,                0.49042,                  66.49,                0.58008,               0.009406,               0.009406,               0.009406
                      8,                 1.5472,                 1.7971,                 1.7889,                0.59052,                0.44747,                0.45482,                0.25366,                0.46441,                  50.32,                0.56416,               0.009307,               0.009307,               0.009307
                      9,                 1.5268,                 1.7292,                 1.7678,                0.44351,                0.47146,                0.45034,                 0.2535,                0.42734,                 51.249,                0.53344,               0.009208,               0.009208,               0.009208
